date,violations_left,fixed,suppressed,revision
2026-05-11,905,0,0,r132023
2026-05-12,905,0,0,r132023
2026-05-13,905,0,0,r132023
2026-05-14,905,0,0,r132023
2026-05-15,905,0,0,r132023
2026-05-16,905,0,0,r132023
2026-05-17,905,0,0,r132023
2026-05-18,905,0,0,r132023
2026-05-19,905,0,0,r132023
2026-05-20,905,0,0,r132023
2026-05-21,874,0,31,r132625
2026-05-22,810,64,31,r132625
2026-05-23,810,64,31,r132625
2026-05-24,810,64,31,r132625
2026-05-25,810,64,31,r132625
2026-05-26,810,64,31,r132625
2026-05-27,810,64,31,r132625
2026-05-28,810,64,31,r132625
2026-05-29,810,64,31,r132625
